               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048422,            0.019423,             0.03639,             0.34831,             0.71123,             0.46547,             0.33157,            0.035546,           0.0060653,            0.029606,            0.070074,           0.0033251,           0.0033251
                   1,            0.034847,            0.014133,            0.029023,             0.42148,             0.64182,             0.49627,              0.2972,            0.034561,           0.0067193,            0.029059,            0.040052,           0.0066364,           0.0066364
                   2,            0.041362,            0.015898,            0.030308,             0.28837,              0.4165,             0.29349,             0.16411,            0.049694,            0.011004,            0.035759,            0.010008,           0.0099258,           0.0099258
                   3,            0.046698,            0.017707,            0.033014,             0.34431,             0.51832,              0.3303,             0.16685,            0.049136,           0.0083736,            0.031851,            0.009901,            0.009901,            0.009901
                   4,            0.041514,            0.016431,            0.031786,             0.46237,             0.61542,             0.48369,             0.35496,            0.038696,           0.0069666,            0.029298,            0.009901,            0.009901,            0.009901
                   5,            0.040298,            0.016244,            0.031249,             0.47197,             0.60391,             0.48326,             0.35565,            0.036084,           0.0068043,            0.029537,            0.009868,            0.009868,            0.009868
                   6,            0.037826,            0.015544,            0.029859,              0.4702,             0.59073,             0.50797,             0.39082,            0.033383,           0.0064065,            0.028785,            0.009835,            0.009835,            0.009835
                   7,            0.035768,            0.015474,            0.029453,             0.42041,              0.6352,             0.51323,             0.39427,            0.033675,           0.0064075,            0.028386,            0.009802,            0.009802,            0.009802
                   8,            0.034802,            0.014776,            0.028038,             0.45476,             0.63215,             0.50999,              0.3995,             0.03198,            0.006362,            0.028141,            0.009769,            0.009769,            0.009769
                   9,            0.033523,            0.014684,            0.027959,             0.46424,             0.61367,              0.5208,             0.41204,            0.029588,           0.0063188,            0.025128,            0.009736,            0.009736,            0.009736
                  10,            0.033176,             0.01512,            0.028201,              0.4578,             0.72916,              0.5338,             0.43918,            0.029799,           0.0058261,            0.025446,            0.009703,            0.009703,            0.009703
                  11,            0.032746,            0.014772,            0.027268,             0.47818,             0.66967,             0.54791,             0.45084,            0.028078,           0.0058896,            0.025411,             0.00967,             0.00967,             0.00967
                  12,            0.032674,            0.014383,            0.027221,             0.48894,             0.68324,             0.55225,             0.46249,            0.027498,           0.0058017,            0.025847,            0.009637,            0.009637,            0.009637
                  13,            0.031909,             0.01453,            0.027982,             0.47046,             0.66675,             0.56201,             0.46735,            0.027242,           0.0056578,            0.023108,            0.009604,            0.009604,            0.009604
                  14,            0.031119,            0.014358,            0.025983,             0.49139,             0.69484,             0.56361,             0.47187,            0.026269,           0.0056303,            0.024323,            0.009571,            0.009571,            0.009571
                  15,            0.031166,            0.014151,            0.026786,             0.48649,             0.68969,             0.56463,             0.47478,            0.025932,           0.0057818,            0.024675,            0.009538,            0.009538,            0.009538
                  16,            0.030924,            0.014267,             0.02628,             0.46244,             0.71287,              0.5631,             0.47291,            0.025261,           0.0056756,            0.024098,            0.009505,            0.009505,            0.009505
                  17,            0.030303,            0.014261,            0.025534,             0.48422,              0.7588,             0.57709,             0.48994,            0.023488,           0.0055197,            0.023367,            0.009472,            0.009472,            0.009472
                  18,            0.030512,            0.014204,            0.026364,             0.48727,             0.69571,             0.57538,             0.48889,            0.023386,           0.0055774,            0.023503,            0.009439,            0.009439,            0.009439
                  19,            0.030343,            0.014199,            0.025435,              0.4878,              0.7443,             0.58269,             0.49601,            0.023382,            0.005398,            0.022075,            0.009406,            0.009406,            0.009406
                  20,            0.029633,            0.013907,            0.026286,             0.48215,             0.73369,             0.57203,             0.48827,            0.023484,            0.005442,            0.021879,            0.009373,            0.009373,            0.009373
                  21,            0.029085,            0.014201,            0.025882,             0.49815,             0.68776,             0.58123,             0.49649,            0.022827,            0.005372,            0.021984,             0.00934,             0.00934,             0.00934
                  22,            0.029755,            0.014126,            0.025876,               0.493,              0.7048,             0.58308,              0.5028,            0.021276,           0.0053718,            0.021348,            0.009307,            0.009307,            0.009307
                  23,            0.029251,            0.013988,            0.026298,             0.48853,             0.72558,             0.58719,               0.504,            0.021378,           0.0053636,            0.020918,            0.009274,            0.009274,            0.009274
                  24,            0.028197,            0.013804,            0.025701,             0.50033,             0.73074,             0.58945,             0.50764,            0.020829,           0.0053959,            0.021091,            0.009241,            0.009241,            0.009241
                  25,            0.028491,             0.01373,            0.024463,             0.50116,              0.7285,              0.5945,             0.51462,            0.020907,           0.0052612,            0.020139,            0.009208,            0.009208,            0.009208
                  26,            0.027789,            0.013548,            0.024519,             0.49379,             0.73465,             0.59385,             0.51587,               0.021,           0.0052619,            0.020327,            0.009175,            0.009175,            0.009175
                  27,            0.027796,             0.01368,            0.025184,              0.4803,             0.74699,             0.59007,             0.51214,            0.020953,           0.0053099,             0.02015,            0.009142,            0.009142,            0.009142
                  28,            0.029132,            0.013775,            0.025365,             0.49587,             0.74196,             0.59398,             0.51458,            0.020664,           0.0053314,            0.019863,            0.009109,            0.009109,            0.009109
                  29,            0.028486,            0.013655,             0.02493,             0.49734,             0.75876,              0.5964,             0.51876,            0.020206,           0.0052736,             0.01967,            0.009076,            0.009076,            0.009076
                  30,             0.02832,            0.013774,            0.024852,             0.49417,             0.76536,             0.59648,             0.52072,            0.019759,           0.0052303,             0.01963,            0.009043,            0.009043,            0.009043
                  31,            0.027948,            0.013825,            0.024169,             0.48354,             0.75346,             0.59637,             0.52077,            0.019748,           0.0052302,            0.019812,             0.00901,             0.00901,             0.00901
                  32,            0.028355,            0.013415,            0.025335,             0.49058,             0.75301,             0.59908,             0.52178,            0.019633,           0.0052426,             0.01959,            0.008977,            0.008977,            0.008977
                  33,            0.028042,            0.013415,             0.02517,             0.49506,             0.75415,             0.60094,             0.52492,            0.019255,           0.0052207,            0.019453,            0.008944,            0.008944,            0.008944
                  34,            0.027939,            0.013523,            0.025333,             0.49374,             0.76018,             0.60235,             0.52678,            0.019117,           0.0051934,            0.019338,            0.008911,            0.008911,            0.008911
                  35,            0.028702,            0.013557,            0.024814,              0.4964,             0.76886,               0.603,             0.52745,            0.018857,           0.0051768,            0.019231,            0.008878,            0.008878,            0.008878
                  36,            0.028537,             0.01391,             0.02514,             0.49742,             0.76056,             0.60317,             0.52802,            0.018773,           0.0051632,            0.019181,            0.008845,            0.008845,            0.008845
                  37,            0.028322,            0.013715,             0.02455,             0.49671,             0.76093,             0.60377,             0.52828,            0.018642,           0.0051594,            0.019155,            0.008812,            0.008812,            0.008812
